bits,condition,seed,run_name,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
2,nominal,0,bits_wsb2_s0,0,0,0.42935475373682924,0.48769081795397584,0.256038961038961,0.40756873315363884,0.5104582210242588,0.5433530997304583
2,nominal,0,bits_wsb2_s0,1,0,0.5788393980233604,0.4993985822188404,0.4011904761904762,0.6811428571428572,0.6110512129380055,0.6219730458221024
2,nominal,0,bits_wsb2_s0,2,0,0.5234575165400637,0.5269080183305606,0.7221103896103896,0.5542210242587602,0.6076873315363881,0.20981132075471695
2,nominal,0,bits_wsb2_s0,3,0,0.6319918014375562,0.6150943396226416,0.4970238095238096,0.5889811320754716,0.6102964959568733,0.8316657681940702
2,nominal,0,bits_wsb2_s0,4,0,0.5795208894878706,0.5749940889960751,0.45785714285714285,0.5630835579514826,0.4084312668463612,0.8887115902964959
2,nominal,0,bits_wsb2_s0,5,0,0.4229172384219554,0.4924812030075188,0.3494155844155844,0.5480215633423181,0.38955256064690025,0.4046792452830188
2,nominal,0,bits_wsb2_s0,6,0,0.546967961283999,0.55761256700929,0.24318181818181817,0.3750727762803234,0.706900269541779,0.8627169811320755
2,nominal,0,bits_wsb2_s0,7,0,0.39369359021481665,0.5244148106114342,0.16663419913419913,0.4925606469002695,0.23911590296495955,0.6764636118598383
2,nominal,0,bits_wsb2_s0,8,0,0.5845298435840889,0.5441958240369362,0.5530627705627706,0.6455849056603774,0.542177897574124,0.5972938005390835
2,nominal,0,bits_wsb2_s0,9,0,0.6444691966838193,0.5856007944389274,0.4773484848484848,0.38615633423180595,0.8660485175202155,0.8483234501347708
2,quant_only,0,bits_wsb2_s0,0,0,0.5620676406926406,0.5298680878869557,0.5759848484848484,0.3959083557951482,0.5949433962264151,0.681433962264151
2,nominal,1,bits_wsb2_s1,0,0,0.43013161602548394,0.5078284261253476,0.38237012987012986,0.5885067385444744,0.46449595687331535,0.2851536388140161
2,nominal,1,bits_wsb2_s1,1,0,0.6265708772359716,0.5621255110331576,0.5851298701298702,0.8368409703504044,0.5686792452830188,0.515633423180593
2,nominal,1,bits_wsb2_s1,2,0,0.4290336723025403,0.5168074022964788,0.29854978354978357,0.615967654986523,0.5226846361185984,0.2789326145552561
2,nominal,1,bits_wsb2_s1,3,0,0.4950846708323124,0.5463395839513019,0.5783225108225107,0.5756873315363882,0.5144258760107817,0.31190296495956876
2,nominal,1,bits_wsb2_s1,4,0,0.5401835130278526,0.5214356646332814,0.30023809523809525,0.6947493261455525,0.5919029649595687,0.573843665768194
2,nominal,1,bits_wsb2_s1,5,0,0.5278338744588744,0.4948214231977886,0.6553354978354979,0.44645822102425875,0.563288409703504,0.4462533692722372
2,nominal,1,bits_wsb2_s1,6,0,0.48455327534101117,0.5121217494852053,0.5293290043290043,0.5365175202156334,0.36377358490566036,0.5085929919137466
2,nominal,1,bits_wsb2_s1,7,0,0.7814752715837622,0.6485341247630225,0.6666450216450216,0.7966361185983827,0.8019191374663074,0.8607008086253369
2,nominal,1,bits_wsb2_s1,8,0,0.6341126051621335,0.5355096575056852,0.7222186147186148,0.5191805929919138,0.6809380053908356,0.6141132075471698
2,nominal,1,bits_wsb2_s1,9,0,0.3889392101609083,0.4857057953631936,0.4898484848484849,0.3008733153638814,0.37405929919137465,0.39097574123989215
2,quant_only,1,bits_wsb2_s1,0,0,0.5736278077268644,0.5251904417991806,0.5683333333333334,0.6461024258760107,0.7005929919137466,0.37948247978436656
2,nominal,2,bits_wsb2_s2,0,0,0.4785975659560565,0.5017307419492126,0.4077056277056277,0.45414555256064687,0.511288409703504,0.5412506738544475
2,nominal,2,bits_wsb2_s2,1,0,0.506280456179041,0.4933193296276712,0.43156926406926405,0.4365929919137466,0.551644204851752,0.6053153638814016
2,nominal,2,bits_wsb2_s2,2,0,0.49448950420648535,0.4970208540218471,0.33601731601731605,0.5692183288409703,0.5253045822102426,0.5474177897574124
2,nominal,2,bits_wsb2_s2,3,0,0.5046731091235808,0.5087530146120016,0.4677813852813853,0.37220485175202156,0.554544474393531,0.6241617250673854
2,nominal,2,bits_wsb2_s2,4,0,0.5372231377113452,0.5466171861901753,0.4250974025974026,0.3456280323450135,0.6929380053908356,0.6852291105121293
2,nominal,2,bits_wsb2_s2,5,0,0.5024198725802499,0.49424080140316484,0.40506493506493507,0.33616172506738545,0.5427601078167116,0.7256927223719676
2,nominal,2,bits_wsb2_s2,6,0,0.5672960058809116,0.5313803376365441,0.4566233766233766,0.41223719676549864,0.7143180592991915,0.6860053908355794
2,nominal,2,bits_wsb2_s2,7,0,0.49754841542105693,0.5016172506738544,0.3698917748917749,0.34665229110512125,0.5743611859838275,0.6992884097035041
2,nominal,2,bits_wsb2_s2,8,0,0.4941992056685453,0.5101007235068804,0.42544372294372296,0.43442587601078164,0.5773261455525607,0.5396010781671159
2,nominal,2,bits_wsb2_s2,9,0,0.5794713713958997,0.5117585451622195,0.5267965367965368,0.6036981132075472,0.3988463611859838,0.7885444743935309
2,quant_only,2,bits_wsb2_s2,0,0,0.53621662378502,0.4969499219747482,0.5639069264069264,0.47194609164420487,0.5045929919137466,0.6044204851752021
4,nominal,0,bits_wsb4_s0,0,0,0.44748041738136074,0.4938049992047013,0.4178138528138528,0.4709865229110512,0.47784366576819404,0.423277628032345
4,nominal,0,bits_wsb4_s0,1,0,0.4533854855835988,0.49506608502388044,0.42432900432900433,0.45607547169811324,0.48952021563342313,0.4436172506738545
4,nominal,0,bits_wsb4_s0,2,0,0.44354734337989055,0.49126138674301534,0.40875541125541126,0.4252938005390836,0.496711590296496,0.4434285714285714
4,nominal,0,bits_wsb4_s0,3,0,0.45661764886057343,0.49477322164760096,0.45185064935064934,0.47435040431266845,0.4937681940700809,0.4065013477088949
4,nominal,0,bits_wsb4_s0,4,0,0.44411070611778164,0.49316596594401957,0.434491341991342,0.4342318059299191,0.4922479784366577,0.41547169811320755
4,nominal,0,bits_wsb4_s0,5,0,0.4514375969942008,0.4948970840480274,0.43813852813852816,0.4769056603773585,0.49362803234501346,0.39707816711590294
4,nominal,0,bits_wsb4_s0,6,0,0.45381573143837295,0.49340799468654484,0.47324675324675325,0.4515579514824798,0.4963126684636119,0.39414555256064693
4,nominal,0,bits_wsb4_s0,7,0,0.4571859736175774,0.49512438901713973,0.44856060606060605,0.4853800539083558,0.48365498652291106,0.41114824797843663
4,nominal,0,bits_wsb4_s0,8,0,0.4468459323695173,0.4934784431060499,0.44811688311688314,0.406911051212938,0.48778436657681945,0.4445714285714285
4,nominal,0,bits_wsb4_s0,9,0,0.43742535530507226,0.49309772071688657,0.4480194805194805,0.4123234501347709,0.4853261455525606,0.40403234501347707
4,quant_only,0,bits_wsb4_s0,0,0,0.4495626174140325,0.49330804498381453,0.44208874458874464,0.456377358490566,0.4871482479784367,0.4126361185983828
4,nominal,1,bits_wsb4_s1,0,0,0.45992269051703016,0.4952544311034877,0.4637662337662337,0.45652830188679244,0.4767654986522911,0.4426307277628033
