arch,sigma_read,depth,seed,run_name,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
none,0.0,2,0,arch_none_r0_d2_s0,0,0,0.6653244404966103,0.5496087990129699,0.7039069264069263,0.6863935309973046,0.5379622641509434,0.7330350404312669
none,0.0,2,0,arch_none_r0_d2_s0,1,0,0.5991761414685943,0.5598934084783141,0.5038528138528138,0.7759568733153639,0.34274932614555254,0.7741455525606469
none,0.0,2,0,arch_none_r0_d2_s0,2,0,0.49893589193825044,0.5186733987627732,0.6606168831168832,0.5812075471698113,0.30654447439353105,0.44737466307277624
none,0.0,2,0,arch_none_r0_d2_s0,3,0,0.5227732377685208,0.517040457060318,0.2882034632034632,0.7155148247978437,0.5820053908355796,0.5053692722371967
none,0.0,2,0,arch_none_r0_d2_s0,4,0,0.5660124765171934,0.5631654715691459,0.6732251082251082,0.6629002695417789,0.3673854447439353,0.5605390835579515
none,0.0,2,0,arch_none_r0_d2_s0,5,0,0.6303733562035448,0.5557486662625689,0.61004329004329,0.7971105121293801,0.5004204851752021,0.6139191374663072
none,0.0,2,0,arch_none_r0_d2_s0,6,0,0.622223474638569,0.5324097658382663,0.5968831168831168,0.6503288409703504,0.6188571428571428,0.6228247978436658
none,0.0,2,0,arch_none_r0_d2_s0,7,0,0.6241435207873887,0.562185534591195,0.7664177489177488,0.6012291105121293,0.434566037735849,0.6943611859838275
none,0.0,2,0,arch_none_r0_d2_s0,8,0,0.6747873785020011,0.5656083820185112,0.6260497835497836,0.7417250673854447,0.5923126684636119,0.7390619946091646
none,0.0,2,0,arch_none_r0_d2_s0,9,0,0.563659080699175,0.5391372406144005,0.6671969696969697,0.7284743935309973,0.47051212938005393,0.38845283018867915
none,0.0,2,1,arch_none_r0_d2_s1,0,0,0.7442088131993791,0.6201248189083344,0.7413419913419914,0.7267816711590297,0.7012398921832884,0.8074716981132075
none,0.0,2,1,arch_none_r0_d2_s1,1,0,0.6916299926488607,0.5917600067922809,0.7306493506493508,0.7274609164420487,0.6084420485175203,0.699967654986523
none,0.0,2,1,arch_none_r0_d2_s1,2,0,0.7055727252307441,0.5923312784534234,0.6928030303030304,0.8110188679245283,0.6127870619946092,0.7056819407008086
none,0.0,2,1,arch_none_r0_d2_s1,3,0,0.6234453054806828,0.5554885820898731,0.4548809523809524,0.789099730458221,0.7354177897574123,0.5143827493261456
none,0.0,2,1,arch_none_r0_d2_s1,4,0,0.6804970697541453,0.609490869111028,0.6754653679653679,0.8498544474393531,0.45704582210242584,0.739622641509434
none,0.0,2,1,arch_none_r0_d2_s1,5,0,0.6834365760026138,0.5586100220534184,0.7341991341991343,0.7463396226415094,0.45901886792452834,0.794188679245283
none,0.0,2,1,arch_none_r0_d2_s1,6,0,0.6755853038470964,0.6029347059759175,0.6632792207792209,0.7369056603773585,0.586921832884097,0.7152345013477089
none,0.0,2,1,arch_none_r0_d2_s1,7,0,0.6378090541533938,0.5784158079590056,0.569025974025974,0.7187385444743937,0.5035471698113207,0.7599245283018867
none,0.0,2,1,arch_none_r0_d2_s1,8,0,0.6455168259413542,0.5769296203630861,0.7621212121212122,0.6647547169811321,0.5750512129380053,0.5801401617250674
none,0.0,2,1,arch_none_r0_d2_s1,9,0,0.681710804132974,0.5476268931333479,0.6620238095238096,0.7099083557951482,0.678199460916442,0.676711590296496
none,0.0,2,2,arch_none_r0_d2_s2,0,0,0.7486255819652046,0.6201085905157404,0.7016883116883117,0.8065121293800539,0.6523719676549865,0.8339299191374663
none,0.0,2,2,arch_none_r0_d2_s2,1,0,0.6509600996487789,0.5689642738922779,0.6691341991341992,0.7460269541778975,0.6232129380053908,0.565466307277628
none,0.0,2,2,arch_none_r0_d2_s2,2,0,0.6687907886139018,0.5918749489504207,0.6810930735930736,0.7830835579514824,0.5166145552560647,0.6943719676549865
none,0.0,2,2,arch_none_r0_d2_s2,3,0,0.7282620987503062,0.603857682370592,0.7863961038961039,0.7980053908355795,0.6000323450134771,0.7286145552560646
none,0.0,2,2,arch_none_r0_d2_s2,4,0,0.7005873866699338,0.6189405761401789,0.7597727272727273,0.7997735849056604,0.6706738544474393,0.5721293800539083
none,0.0,2,2,arch_none_r0_d2_s2,5,0,0.6863658314955485,0.557558400718778,0.7163528138528139,0.7816172506738545,0.49271159029649597,0.7547816711590296
none,0.0,2,2,arch_none_r0_d2_s2,6,0,0.6210551641754473,0.5532110722776065,0.721331168831169,0.6117412398921833,0.5997951482479784,0.5513530997304583
none,0.0,2,2,arch_none_r0_d2_s2,7,0,0.6406884239973863,0.5585461294746299,0.5583008658008659,0.8038167115902964,0.5817358490566038,0.618900269541779
none,0.0,2,2,arch_none_r0_d2_s2,8,0,0.6327517254757821,0.5677271545071942,0.6596861471861472,0.6664474393530997,0.680711590296496,0.5241617250673855
none,0.0,2,2,arch_none_r0_d2_s2,9,0,0.6732444355958507,0.5763456669117046,0.710530303030303,0.778188679245283,0.5451644204851752,0.6590943396226415
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,0,0,0.742065506820224,0.6246263170791473,0.7494372294372295,0.8123989218328842,0.6076873315363882,0.7987385444743935
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,1,0,0.7504010659152168,0.631243148609087,0.7565584415584414,0.8206792452830187,0.6372938005390836,0.7870727762803235
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,2,0,0.7577846524544638,0.6265786679391446,0.7745887445887445,0.8192884097035041,0.6632345013477089,0.7740269541778976
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,3,0,0.759868006207629,0.6279503970045182,0.7715151515151515,0.8244204851752022,0.6336064690026955,0.8099299191374664
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,4,0,0.7401327595360614,0.619450964460895,0.7664393939393939,0.7905336927223721,0.6214663072776281,0.7820916442048518
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,5,0,0.7304369129298375,0.6190987760997692,0.7345562770562771,0.8209811320754716,0.621832884097035,0.7443773584905661
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,6,0,0.7188087376460018,0.6126750731889758,0.7401190476190476,0.7882048517520215,0.5814339622641509,0.7654770889487871
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,7,0,0.7386254186065506,0.6214941835721378,0.762943722943723,0.7938760107816711,0.6087870619946092,0.7888948787061995
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,8,0,0.7330417075063302,0.6157146188799615,0.7584956709956711,0.8071913746630728,0.5909649595687332,0.7755148247978437
per_layer,0.0,2,0,arch_per_layer_r0_d2_s0,9,0,0.7466068876092461,0.6246289501627139,0.7347294372294372,0.8022425876010781,0.6488948787061994,0.8005606469002696
per_layer,0.0,2,1,arch_per_layer_r0_d2_s1,0,0,0.7066225087805277,0.5966087495754825,0.7512878787878787,0.7735525606469003,0.56,0.7416495956873317
per_layer,0.0,2,1,arch_per_layer_r0_d2_s1,1,0,0.708270072694601,0.5943431692438644,0.731991341991342,0.7679460916442048,0.6063611859838275,0.7267816711590296
per_layer,0.0,2,1,arch_per_layer_r0_d2_s1,2,0,0.73412658253696,0.6064760959001276,0.7541774891774893,0.7974986522911051,0.6154393530997305,0.7693908355795148
