train_sigma_read,eval_sigma_read,seed,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
0.0,0.0,1,9,0,0.6763489647145308,0.5752465963364672,0.7613311688311688,0.777800539083558,0.47469541778975743,0.6915687331536388
0.0,0.04,1,0,0,0.7069908008658008,0.5989675088235168,0.5731060606060606,0.83122371967655,0.6941563342318059,0.7294770889487869
0.0,0.04,1,1,0,0.6703879768030712,0.5914853063189706,0.5683982683982683,0.7033746630727762,0.6928086253369272,0.7169703504043126
0.0,0.04,1,2,0,0.7478584497263743,0.6230048212297468,0.6813852813852813,0.6988679245283018,0.7026522911051214,0.9085283018867925
0.0,0.04,1,3,0,0.6404104079882381,0.5549419754360171,0.5350324675324676,0.7796873315363881,0.5432237196765498,0.7036981132075472
0.0,0.04,1,4,0,0.6531109511557625,0.5995230894560586,0.4776082251082251,0.6943288409703503,0.7591374663072775,0.6813692722371968
0.0,0.04,1,5,0,0.6850992403822593,0.6246623742030892,0.6023376623376623,0.8007331536388141,0.5098328840970351,0.8274932614555256
0.0,0.04,1,6,0,0.6629439169321245,0.5706618067467124,0.6748376623376623,0.7060053908355794,0.5769703504043127,0.6939622641509433
0.0,0.04,1,7,0,0.6525966674834599,0.5760436683475413,0.6524675324675324,0.6705768194070081,0.5501455525606469,0.7371967654986522
0.0,0.04,1,8,0,0.6917053111982358,0.6491747701156837,0.7647727272727274,0.7030835579514825,0.38245822102425875,0.9165067385444744
0.0,0.04,1,9,0,0.724252287021155,0.6218520679915913,0.7102813852813853,0.7547169811320754,0.5812506738544475,0.8507601078167117
0.0,0.0,2,0,0,0.7010919811320755,0.592320853591956,0.7803571428571429,0.7709326145552561,0.6263611859838274,0.6267169811320755
0.0,0.0,2,1,0,0.699407753410112,0.6123314289153415,0.7465043290043291,0.8302641509433962,0.590900269541779,0.6299622641509435
0.0,0.0,2,2,0,0.6217260271175366,0.5637719943082407,0.7210173160173159,0.6165067385444745,0.5434177897574124,0.6059622641509435
0.0,0.0,2,3,0,0.6702128869558115,0.5903682877863613,0.6742316017316017,0.8365283018867925,0.5019514824797844,0.6681401617250674
0.0,0.0,2,4,0,0.6727506534346157,0.5908485837234596,0.6071212121212122,0.747266846361186,0.6012183288409703,0.7353962264150943
0.0,0.0,2,5,0,0.664684819897084,0.5807568341952651,0.7173376623376624,0.7828571428571428,0.5837196765498651,0.5748247978436658
0.0,0.0,2,6,0,0.6619742505921751,0.5839145462283496,0.6755627705627705,0.748366576819407,0.6474609164420485,0.5765067385444744
0.0,0.0,2,7,0,0.6932704300416563,0.6010208303778314,0.6637987012987012,0.8227277628032346,0.652021563342318,0.6345336927223719
0.0,0.0,2,8,0,0.5910681818181819,0.5419719968875878,0.6351298701298701,0.6061563342318059,0.5048517520215634,0.6181347708894879
0.0,0.0,2,9,0,0.6504016683002531,0.572190338625294,0.6171969696969697,0.8094016172506737,0.5051428571428571,0.6698652291105122
0.0,0.04,2,0,0,0.6346300436984399,0.567652622121341,0.6078463203463202,0.6972075471698113,0.4712129380053909,0.7622533692722372
0.0,0.04,2,1,0,0.6854704525034714,0.6109109609357871,0.7358225108225109,0.793789757412399,0.5504690026954179,0.661800539083558
0.0,0.04,2,2,0,0.7038144756187209,0.5907230554946543,0.6862012987012986,0.7318167115902965,0.6172830188679245,0.7799568733153639
0.0,0.04,2,3,0,0.7118670260557053,0.6198809631282323,0.7876190476190477,0.8255633423180593,0.5646145552560647,0.6696711590296496
0.0,0.04,2,4,0,0.6508279731275015,0.5758783214468418,0.7433658008658008,0.708711590296496,0.46972506738544473,0.6815094339622643
0.0,0.04,2,5,0,0.6040545311606633,0.5671861901752666,0.7292316017316018,0.7113638814016172,0.4515363881401617,0.5240862533692723
0.0,0.04,2,6,0,0.753100363473005,0.5991182394236019,0.8349567099567099,0.7657574123989219,0.7154501347708895,0.6962371967654987
0.0,0.04,2,7,0,0.6612886241117373,0.5605653821517773,0.5516558441558441,0.7178975741239892,0.6548355795148247,0.7207654986522911
0.0,0.04,2,8,0,0.6138654435187454,0.5739129663782097,0.5573701298701299,0.7318167115902965,0.501487870619946,0.6647870619946091
0.0,0.04,2,9,0,0.6694642040349588,0.5897789606950481,0.7091991341991342,0.7100485175202156,0.5337574123989218,0.7248517520215634
0.04,0.0,0,0,0,0.7157268439108061,0.6012375492762781,0.7390259740259739,0.7899838274932615,0.5736603773584905,0.7602371967654987
0.04,0.0,0,1,0,0.7262338989626725,0.6048138678600447,0.7393614718614718,0.795654986522911,0.5982425876010782,0.7716765498652292
0.04,0.0,0,2,0,0.737690180102916,0.6117936350309737,0.7715909090909092,0.8038167115902966,0.6188571428571428,0.7564959568733153
0.04,0.0,0,3,0,0.7203510781671159,0.60239137724242,0.7449999999999999,0.7813692722371969,0.5797142857142857,0.7753207547169811
0.04,0.0,0,4,0,0.7352726149636527,0.6096870607049356,0.7575432900432899,0.7909541778975742,0.6168409703504043,0.7757520215633424
0.04,0.0,0,5,0,0.7215986788368864,0.5991660110825949,0.7431709956709956,0.7812291105121295,0.5941239892183289,0.7678706199460916
0.04,0.0,0,6,0,0.7278128011925182,0.6024888013343823,0.7501406926406926,0.799309973045822,0.6079784366576819,0.753822102425876
0.04,0.0,0,7,0,0.7153625336927223,0.6017379963631204,0.7357142857142857,0.7866954177897574,0.5816495956873315,0.7573908355795147
0.04,0.0,0,8,0,0.724582720738381,0.6028864506893306,0.7633982683982683,0.8024366576819408,0.577487870619946,0.7550080862533692
0.04,0.0,0,9,0,0.7179681093277792,0.6000588950936518,0.7419101731601732,0.7920754716981131,0.5745983827493262,0.7632884097035041
0.04,0.04,0,0,0,0.7138421649105612,0.5993834822906323,0.7184090909090909,0.7793099730458222,0.5701563342318059,0.7874932614555257
0.04,0.04,0,1,0,0.7260388078902229,0.6060841426035071,0.7211363636363637,0.7732075471698112,0.614501347708895,0.795309973045822
0.04,0.04,0,2,0,0.723511098178551,0.5998728596792152,0.707478354978355,0.7688194070080864,0.612021563342318,0.8057250673854447
0.04,0.04,0,3,0,0.7134900759617742,0.5994746192238745,0.730909090909091,0.7674177897574124,0.580010781671159,0.775622641509434
0.04,0.04,0,4,0,0.7282384219554031,0.6093574953679224,0.7012987012987013,0.7862964959568735,0.6133045822102426,0.812053908355795
0.04,0.04,0,5,0,0.7182343788287184,0.6002586870263137,0.717012987012987,0.7783504043126684,0.594199460916442,0.7833746630727763
0.04,0.04,0,6,0,0.7105160193580005,0.5943589677452636,0.732694805194805,0.7660269541778976,0.5703935309973045,0.7729487870619947
0.04,0.04,0,7,0,0.7119621722617006,0.5966470636281958,0.7170454545454544,0.7612291105121294,0.5788787061994609,0.7906954177897575
0.04,0.04,0,8,0,0.7206956424079067,0.6003504687963477,0.7316666666666667,0.7807870619946092,0.5880539083557952,0.7822749326145553
0.04,0.04,0,9,0,0.7159373825859675,0.5971562160117274,0.7193398268398268,0.7722048517520217,0.5934016172506738,0.7788032345013477
0.04,0.0,1,0,0,0.7334833884668791,0.6114070553742847,0.7466774891774891,0.7809380053908356,0.6105768194070081,0.7957412398921834
0.04,0.0,1,1,0,0.7530382361349341,0.621280151493657,0.7805303030303031,0.8062318059299192,0.6150727762803234,0.8103180592991912
0.04,0.0,1,2,0,0.7504126950093931,0.6196049192449391,0.77745670995671,0.8150512129380053,0.6133584905660378,0.7957843665768195
0.04,0.0,1,3,0,0.7527827942497753,0.61927503148953,0.7611904761904763,0.8188894878706199,0.6521401617250675,0.778911051212938
0.04,0.0,1,4,0,0.7521851772441396,0.6363613256984657,0.7591450216450217,0.8203881401617251,0.598878706199461,0.8303288409703504
0.04,0.0,1,5,0,0.7513766335865394,0.62219458380084,0.7535173160173161,0.8159892183288411,0.641455525606469,0.7945444743935312
0.04,0.0,1,6,0,0.7232349914236708,0.6115876634123903,0.7548051948051948,0.7807762803234501,0.5939622641509434,0.7633962264150943
0.04,0.0,1,7,0,0.7378912133464021,0.6171505629425192,0.7418290043290043,0.8008517520215633,0.6077520215633423,0.8011320754716981
0.04,0.0,1,8,0,0.7287594850118435,0.602376492259809,0.7507683982683984,0.7843989218328842,0.6138867924528302,0.7659838274932615
0.04,0.0,1,9,0,0.7414455352037899,0.6146261881117888,0.7394101731601731,0.8122048517520215,0.6268032345013477,0.7873638814016174
0.04,0.04,1,0,0,0.733713009474802,0.618288968562057,0.7143614718614719,0.7962587601078168,0.6055579514824798,0.8186738544474395
0.04,0.04,1,1,0,0.7333620231969288,0.6165877816324687,0.7380303030303029,0.7747708894878707,0.5855956873315364,0.8350512129380054
0.04,0.04,1,2,0,0.7383496691987258,0.6182208845441219,0.7277922077922079,0.7917304582210243,0.6080754716981133,0.8258005390835579
0.04,0.04,1,3,0,0.7379492975577882,0.6136193829341794,0.7376839826839827,0.7978867924528301,0.614544474393531,0.8016819407008087
0.04,0.04,1,4,0,0.7542095074736584,0.6279349209215148,0.7335064935064937,0.7997520215633422,0.6475256064690027,0.8360539083557952
0.04,0.04,1,5,0,0.74352534101119,0.6187039747739848,0.7425757575757577,0.7827277628032345,0.6259299191374662,0.8228679245283018
0.04,0.04,1,6,0,0.7316081740586458,0.6177049613742762,0.7418073593073594,0.7868355795148247,0.5786954177897574,0.8190943396226417
0.04,0.04,1,7,0,0.748302744425386,0.6214147611739469,0.7266233766233767,0.785811320754717,0.647288409703504,0.833487870619946
0.04,0.04,1,8,0,0.7233122906967246,0.6039403826891414,0.7367424242424242,0.758533692722372,0.590911051212938,0.8070619946091644
0.04,0.04,1,9,0,0.7287066895368781,0.6097127467038093,0.711948051948052,0.7820161725067385,0.6159460916442049,0.8049164420485175
0.04,0.0,2,0,0,0.7477512047700727,0.6224333883594062,0.7762770562770563,0.8111159029649597,0.6335417789757413,0.7700700808625336
0.04,0.0,2,1,0,0.7649958547741567,0.6365372586698306,0.8013203463203462,0.8104258760107816,0.6423396226415095,0.8058975741239891
0.04,0.0,2,2,0,0.7420426468185901,0.6252905527111088,0.7680627705627705,0.7840862533692723,0.6245390835579514,0.7914824797843665
