arch,sigma_read,calib_windows,n,auc_mean,auc_std,auc_min
none,0.0,0,30,0.6477759954667974,0.056186116793644506,0.5017432920852732
none,0.0,2048,30,0.6488957397424379,0.050254101157131754,0.5559839091725884
none,0.0,20480,30,0.670429000925699,0.041910788458855285,0.5882314587927795
none,0.04,0,30,0.7307942790438073,0.013050221430302109,0.7088163950829045
none,0.04,2048,30,0.7282896818590214,0.016651133726679448,0.6965353977783223
none,0.04,20480,30,0.7309649098804759,0.01616006250567324,0.7034880237686842
per_layer,0.0,0,30,0.7315496528628603,0.017099969066373247,0.6787140406763048
per_layer,0.0,2048,30,0.7271878917204389,0.01625129878130757,0.6929741076533529
per_layer,0.0,20480,30,0.7310690632742519,0.017411647354091026,0.6905128236543331
