arm,sigma,seed,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4,run_name
C2,0.02,1,8,0,0.5296309728007842,0.5008369981557668,0.5288311688311689,0.554188679245283,0.5062964959568734,0.5292075471698113,
C2,0.02,1,9,0,0.4230423915706934,0.506015037593985,0.392077922077922,0.5044312668463612,0.5632830188679245,0.232377358490566,
C2,0.03,1,0,0,0.6260244425385935,0.529596826543202,0.6944805194805195,0.5441401617250673,0.683266846361186,0.582210242587601,
C2,0.03,1,1,0,0.661051948051948,0.6432569954044631,0.6607792207792208,0.6744258760107817,0.8023396226415095,0.5066630727762803,
C2,0.03,1,2,0,0.42545020624030055,0.4944605832763727,0.571504329004329,0.28423719676549863,0.41719676549865226,0.42886253369272237,
C2,0.03,1,3,0,0.5825772890631381,0.51835721378919,0.6090692640692641,0.48119676549865226,0.6426199460916442,0.5974231805929919,
C2,0.03,1,4,0,0.48872646614391896,0.5217086992782127,0.601482683982684,0.5919029649595687,0.6232129380053908,0.13830727762803235,
C2,0.03,1,5,0,0.6493304235073103,0.6411547737267698,0.37596320346320344,0.8482587601078168,0.8387816711590297,0.5343180592991914,
C2,0.03,1,6,0,0.5640662317242506,0.49501433687133783,0.6102056277056277,0.5342210242587602,0.5651212938005391,0.5467169811320755,
C2,0.03,1,7,0,0.6128257065261782,0.5039531182157795,0.7781060606060606,0.6359029649595687,0.534522911051213,0.5027708894878706,
C2,0.03,1,8,0,0.45451719349832553,0.48195961602118503,0.491082251082251,0.5322911051212939,0.36688948787062,0.42780592991913746,
C2,0.03,1,9,0,0.5046070815976477,0.49908234350885783,0.574935064935065,0.6282371967654987,0.41646361185983827,0.39879245283018866,
C2,0.05,1,0,0,0.543273533856081,0.5178756819149073,0.5499458874458875,0.45141778975741237,0.4536280323450135,0.7181024258760107,
C2,0.05,1,1,0,0.5647582291921914,0.5344162292523762,0.6094372294372294,0.572733153638814,0.7540700808625337,0.3227924528301887,
C2,0.05,1,2,0,0.5139377501429387,0.4985387998297631,0.4225865800865801,0.5213584905660377,0.5847115902964959,0.5270943396226415,
C2,0.05,1,3,0,0.5157792411990525,0.5198259370553313,0.5831385281385282,0.590210242587601,0.5923234501347708,0.29744474393530995,
C2,0.05,1,4,0,0.616530466388957,0.541651298056462,0.4822943722943723,0.5858652291105121,0.5354609164420485,0.862501347708895,
C2,0.05,1,5,0,0.4822026362002777,0.5264850591315339,0.38336580086580085,0.5089164420485175,0.4096603773584906,0.6268679245283018,
C2,0.05,1,6,0,0.4859499816221515,0.514959461260355,0.5869805194805195,0.5226415094339623,0.4362911051212938,0.3978867924528302,
C2,0.05,1,7,0,0.5277907784039859,0.5040140015562061,0.6153679653679653,0.5819730458221024,0.4625768194070081,0.4512452830188679,
C2,0.05,1,8,0,0.6004201380380626,0.5246111634145398,0.5424891774891776,0.5288194070080863,0.6527762803234503,0.6775956873315364,
C2,0.05,1,9,0,0.4042042493669852,0.5207830897999717,0.045075757575757575,0.6639353099730458,0.42146630727762796,0.48633962264150943,
C2,0.1,1,0,0,0.3441310748999428,0.5143633633827278,0.478939393939394,0.19322911051212938,0.39829649595687333,0.30605929919137465,
C2,0.1,1,1,0,0.5041313199379238,0.5010497942970634,0.5420562770562771,0.4791590296495957,0.5697897574123989,0.42552021563342324,
C2,0.1,1,2,0,0.5801588867107735,0.535948361469712,0.4684199134199135,0.4137358490566038,0.7016172506738545,0.7368625336927224,
C2,0.1,1,3,0,0.4180441885158866,0.5621928427415022,0.3354112554112554,0.2034501347708895,0.5960107816711591,0.5373045822102425,
C2,0.1,1,4,0,0.651224271012007,0.6338317384370016,0.63487012987013,0.5495849056603774,0.782522911051213,0.6379191374663072,
C2,0.1,1,5,0,0.5498637997222903,0.5321349578921575,0.7070562770562769,0.6143288409703505,0.2868571428571428,0.5912129380053909,
C2,0.1,1,6,0,0.4327087315200523,0.5170890347653009,0.216969696969697,0.45294878706199465,0.41538544474393535,0.6455309973045823,
C2,0.1,1,7,0,0.6472298660459038,0.568729768245657,0.6893722943722944,0.6538436657681941,0.5793423180592993,0.6663611859838277,
C2,0.1,1,8,0,0.5300279649595687,0.5101799846958734,0.5639285714285713,0.4992345013477089,0.4727654986522911,0.5841832884097035,
C2,0.1,1,9,0,0.5676255309156253,0.5059299191374662,0.4887770562770563,0.5951698113207547,0.4184582210242588,0.7680970350404313,
C1,0.0,2,0,0,0.7380865698766641,0.6179442495604363,0.7503354978354979,0.8058760107816711,0.6273800539083558,0.768754716981132,
C2,0.0,2,0,0,0.7233421240708976,0.5625994123387371,0.7369372294372295,0.7942857142857142,0.6184474393530998,0.7436981132075472,
C2,0.0,2,1,0,0.733451278281467,0.5816411741188305,0.7240692640692641,0.8012075471698114,0.655288409703504,0.7532398921832885,
