bits,condition,seed,run_name,chip,trial,auc,pauc,auc_id1,auc_id2,auc_id3,auc_id4
2,nominal,0,bits_wsb2_r0.04_s0,0,0,0.47703043575920934,0.5081632038930947,0.6808333333333334,0.534587601078167,0.3586091644204852,0.3340916442048517
2,nominal,0,bits_wsb2_r0.04_s0,1,0,0.48865629849710046,0.5340811828026326,0.37996212121212125,0.6602857142857144,0.518544474393531,0.3958328840970351
2,nominal,0,bits_wsb2_r0.04_s0,2,0,0.4973128011925182,0.5150844521251672,0.6887121212121212,0.4937142857142857,0.49128840970350407,0.3155363881401617
2,nominal,0,bits_wsb2_r0.04_s0,3,0,0.4696463795638324,0.49705460048061834,0.6194480519480519,0.5435579514824798,0.33092183288409704,0.3846576819407008
2,nominal,0,bits_wsb2_r0.04_s0,4,0,0.46974640610961366,0.5141601860569089,0.5740476190476191,0.5715687331536389,0.5629757412398921,0.1703935309973046
2,nominal,0,bits_wsb2_r0.04_s0,5,0,0.5450610144572409,0.5308506579484732,0.7389610389610389,0.5938544474393531,0.2858867924528301,0.5615417789757413
2,nominal,0,bits_wsb2_r0.04_s0,6,0,0.5104432124479295,0.5253319297385832,0.7126623376623378,0.6699407008086253,0.4120431266846361,0.24712668463611862
2,nominal,0,bits_wsb2_r0.04_s0,7,0,0.38227468247161644,0.49041949857491063,0.5354491341991342,0.5376819407008087,0.2171212938005391,0.23884636118598385
2,nominal,0,bits_wsb2_r0.04_s0,8,0,0.48089191783059704,0.5122079964061096,0.6197186147186147,0.5511051212938005,0.32237196765498655,0.4303719676549865
2,nominal,0,bits_wsb2_r0.04_s0,9,0,0.46020521930899294,0.5201907534702966,0.6046753246753247,0.5719622641509434,0.37411320754716987,0.2900700808625337
2,quant_only,0,bits_wsb2_r0.04_s0,0,0,0.617909632034632,0.5610679786945925,0.6299242424242425,0.7035148247978437,0.4742318059299191,0.663967654986523
2,nominal,1,bits_wsb2_r0.04_s1,0,0,0.48636509127664784,0.5159213965445346,0.6284253246753246,0.33540700808625334,0.522544474393531,0.4590835579514825
2,nominal,1,bits_wsb2_r0.04_s1,1,0,0.5403888446459201,0.5186652845664762,0.6550324675324675,0.632043126684636,0.40488409703504047,0.46959568733153645
2,nominal,1,bits_wsb2_r0.04_s1,2,0,0.4873394694927714,0.4918714023480657,0.5255519480519479,0.44987601078167117,0.49166576819407015,0.48226415094339625
2,nominal,1,bits_wsb2_r0.04_s1,3,0,0.5882539920771053,0.5557020768043608,0.6178030303030303,0.5347385444743935,0.5367762803234502,0.6636981132075471
2,nominal,1,bits_wsb2_r0.04_s1,4,0,0.5491112982929021,0.520386730118607,0.48940476190476195,0.5987601078167117,0.4322156334231806,0.6760646900269542
2,nominal,1,bits_wsb2_r0.04_s1,5,0,0.6301989606305644,0.5484503497164868,0.5980411255411255,0.6565983827493261,0.6381132075471697,0.6280431266846361
2,nominal,1,bits_wsb2_r0.04_s1,6,0,0.5449482153067059,0.5186512593662544,0.6222510822510822,0.617487870619946,0.4503935309973046,0.48966037735849055
2,nominal,1,bits_wsb2_r0.04_s1,7,0,0.645320060442702,0.5681526393169889,0.634978354978355,0.4762425876010782,0.712722371967655,0.7573369272237197
2,nominal,1,bits_wsb2_r0.04_s1,8,0,0.6194663174875439,0.5316492883151275,0.6914393939393939,0.6473315363881401,0.4010566037735848,0.7380377358490566
2,nominal,1,bits_wsb2_r0.04_s1,9,0,0.5266630727762803,0.5081623978471049,0.5314285714285714,0.5770242587601078,0.43412398921832884,0.5640754716981132
2,quant_only,1,bits_wsb2_r0.04_s1,0,0,0.6518340582373601,0.5882859485764153,0.4841017316017316,0.6975417789757412,0.68111051212938,0.7445822102425876
2,nominal,2,bits_wsb2_r0.04_s2,0,0,0.6219633566119416,0.5717034331110796,0.7640151515151515,0.4724851752021563,0.630512129380054,0.6208409703504044
2,nominal,2,bits_wsb2_r0.04_s2,1,0,0.5365867230254022,0.548534877072613,0.6447835497835499,0.35693800539083553,0.458911051212938,0.6857142857142857
